C:\Users\KIIT\Desktop\data1\IMG\center_2024_04_07_19_25_56_403.jpg, C:\Users\KIIT\Desktop\data1\IMG\left_2024_04_07_19_25_56_403.jpg, C:\Users\KIIT\Desktop\data1\IMG\right_2024_04_07_19_25_56_403.jpg, 0, 0, 0, 7.839868E-05
C:\Users\KIIT\Desktop\data1\IMG\center_2024_04_07_19_25_56_509.jpg, C:\Users\KIIT\Desktop\data1\IMG\left_2024_04_07_19_25_56_509.jpg, C:\Users\KIIT\Desktop\data1\IMG\right_2024_04_07_19_25_56_509.jpg, 0, 0, 0, 7.914266E-05
C:\Users\KIIT\Desktop\data1\IMG\center_2024_04_07_19_25_56_614.jpg, C:\Users\KIIT\Desktop\data1\IMG\left_2024_04_07_19_25_56_614.jpg, C:\Users\KIIT\Desktop\data1\IMG\right_2024_04_07_19_25_56_614.jpg, 0, 0, 0, 7.781343E-05
C:\Users\KIIT\Desktop\data1\IMG\center_2024_04_07_19_25_56_719.jpg, C:\Users\KIIT\Desktop\data1\IMG\left_2024_04_07_19_25_56_719.jpg, C:\Users\KIIT\Desktop\data1\IMG\right_2024_04_07_19_25_56_719.jpg, 0, 0, 0, 7.79164E-05
C:\Users\KIIT\Desktop\data1\IMG\center_2024_04_07_19_25_56_820.jpg, C:\Users\KIIT\Desktop\data1\IMG\left_2024_04_07_19_25_56_820.jpg, C:\Users\KIIT\Desktop\data1\IMG\right_2024_04_07_19_25_56_820.jpg, 0, 0, 0, 7.798636E-05
C:\Users\KIIT\Desktop\data1\IMG\center_2024_04_07_19_25_56_924.jpg, C:\Users\KIIT\Desktop\data1\IMG\left_2024_04_07_19_25_56_924.jpg, C:\Users\KIIT\Desktop\data1\IMG\right_2024_04_07_19_25_56_924.jpg, 0, 0, 0, 7.787237E-05
C:\Users\KIIT\Desktop\data1\IMG\center_2024_04_07_19_25_57_028.jpg, C:\Users\KIIT\Desktop\data1\IMG\left_2024_04_07_19_25_57_028.jpg, C:\Users\KIIT\Desktop\data1\IMG\right_2024_04_07_19_25_57_028.jpg, 0, 0, 0, 7.79176E-05
C:\Users\KIIT\Desktop\data1\IMG\center_2024_04_07_19_25_57_128.jpg, C:\Users\KIIT\Desktop\data1\IMG\left_2024_04_07_19_25_57_128.jpg, C:\Users\KIIT\Desktop\data1\IMG\right_2024_04_07_19_25_57_128.jpg, 0, 0, 0, 7.90263E-05
C:\Users\KIIT\Desktop\data1\IMG\center_2024_04_07_19_25_57_231.jpg, C:\Users\KIIT\Desktop\data1\IMG\left_2024_04_07_19_25_57_231.jpg, C:\Users\KIIT\Desktop\data1\IMG\right_2024_04_07_19_25_57_231.jpg, 0, 0, 0, 7.865786E-05
C:\Users\KIIT\Desktop\data1\IMG\center_2024_04_07_19_25_57_333.jpg, C:\Users\KIIT\Desktop\data1\IMG\left_2024_04_07_19_25_57_333.jpg, C:\Users\KIIT\Desktop\data1\IMG\right_2024_04_07_19_25_57_333.jpg, 0, 0, 0, 7.782631E-05
